Time(ddMMyy_HHmmssfff) Time(s) x(mm) y(mm) z(mm) rx(deg) ry(deg) rz(deg)
200426_132617802 0 0 0 0 0 -1.59027734073176E-15 2.48480834489337E-17
200426_132636899 0 0 0 0 0 -1.59027734073176E-15 2.48480834489337E-17
200426_132636914 0.0169999999998254 0 0 0 0 -1.59027734073176E-15 2.48480834489337E-17
200426_132636929 0.0319999999992433 0 0 0 0 -1.59027734073176E-15 2.48480834489337E-17
200426_132636945 0.047999999998865 0 0 0 0 -1.59027734073176E-15 2.48480834489337E-17
200426_132636961 0.0640000000003056 0 0 0 0 -1.59027734073176E-15 2.48480834489337E-17
200426_132636976 0.0799999999999272 0 0 0 0 -1.59027734073176E-15 2.48480834489337E-17
200426_132636992 0.0969999999997526 0.000328857851016551 0.0999924483695054 -0.00118411215237302 0 -1.59027734073176E-15 2.48480834489337E-17
200426_132637007 0.111999999999171 0.000328857851016551 0.0999924483695054 -0.00118411215237302 0.0321447571346243 -0.010644977196079 0.040139666285244
200426_132637022 0.127999999998792 0.000328857851016551 0.0999924483695054 -0.00118411215237302 0.0321447571346243 -0.010644977196079 0.040139666285244
200426_132637038 0.144000000000233 0.000328857851016551 0.0999924483695054 -0.00118411215237302 0.0321447571346243 -0.010644977196079 0.040139666285244
200426_132637054 0.161000000000058 -0.021169162774612 0.201212239092854 0.0952129265734243 0.0495755274368834 0.0601533216647139 0.0611969259166023
200426_132637069 0.168999999999869 0.0764191522455633 0.201149790537613 0.117042192976555 0.0495755274368834 0.0601533216647139 0.0611969259166023
200426_132637085 0.183999999999287 -0.021169162774612 0.201212239092854 0.0952129265734243 0.0495755274368834 0.0601533216647139 0.0611969259166023
200426_132637101 0.199999999998909 -0.0426671834002619 0.302432029816146 0.191609965299222 0.0817401410439657 0.0494664659361959 0.101354383470596
200426_132637116 0.216000000000349 0.05524998947093 0.40236202963041 0.21225511954998 0.117199344789651 0.084635172176494 0.0903932654806759
200426_132637132 0.231999999999971 0.05524998947093 0.40236202963041 0.21225511954998 0.0992135095709793 0.12025784386144 0.122443286365441
200426_132637148 0.248999999999796 0.0555788473219465 0.502354477999859 0.211071007397607 0.131397953763099 0.109529058349897 0.162618519456352
200426_132637164 0.263999999999214 0.034080826696318 0.603574268723207 0.307468046123404 0.199069818066231 0.133918932285887 0.19185554561386
200426_132637180 0.279999999998836 0.0559077051729773 0.602346926369364 0.209886895245234 0.113429377946287 0.145159054603885 0.19467042016662
200426_132637194 0.296000000000276 0.0344096845473345 0.703566717092713 0.306283933971031 0.18111824993934 0.169542693186073 0.223932164960474
200426_132637210 0.311999999999898 0.0132405217727012 0.90477895618551 0.401496860544512 0.230901084195704 0.229507263401263 0.285295410565587
200426_132637225 0.328999999999724 0.132655715269571 0.903489165276426 0.325744976069416 0.230901084195704 0.229507263401263 0.285295410565587
200426_132637240 0.343999999999141 0.111157694643921 1.00470895599972 0.42214201479527 0.230901084195704 0.229507263401263 0.285295410565587
200426_132637255 0.359999999998763 0.089988531869281 1.20592119509263 0.517354941368751 0.280746511129383 0.289422661767394 0.346708346718019
200426_132637271 0.376000000000204 0.209403725366144 1.20463140418354 0.441603056893655 0.312980787329987 0.278533404366354 0.386928385280303
200426_132637286 0.393000000000029 0.0903173897203118 1.30591364346208 0.516170829216378 0.295095953481816 0.314167454648864 0.419024278499729
200426_132637302 0.408999999999651 0.0691482269456927 1.50712588255482 0.611383755789745 0.362908540558501 0.338357375118724 0.448408772105968
200426_132637317 0.415999999999258 0.166736541965882 1.50706343399958 0.633213022192876 0.412898968599478 0.398131907737324 0.509939013012387
200426_132637332 0.43199999999888 0.264324856986072 1.50700098544434 0.655042288596064 0.380625361279498 0.409105513116689 0.469683651762294
200426_132637348 0.44800000000032 0.145567379191256 1.70827567309243 0.728425948766414 0.445162954176404 0.387123913406475 0.550185846916937
200426_132637365 0.463999999999942 0.221986531436826 1.90942546362993 0.84546814174297 0.495235689930789 0.446806635948714 0.611783626523274
200426_132637381 0.480999999999767 0.341401724933654 1.90813567272085 0.76971625726793 0.530861352486573 0.481900282977728 0.601001991526632
200426_132637395 0.495999999999185 0.320232562159049 2.10934791181364 0.864929183841355 0.545371181603746 0.506439653331985 0.673431422177724
200426_132637410 0.511999999998807 0.299063399384409 2.31056015090644 0.960142110414779 0.595569483244385 0.566022857376754 0.735129323186709
200426_132637426 0.528000000000247 0.418478592881257 2.30927035999736 0.88439022593974 0.595569483244385 0.566022857376754 0.735129323186709
200426_132637441 0.543999999999869 0.419136308583305 2.50925525673631 0.882022001634994 0.645830648865128 0.625556139719177 0.79687741871245
200426_132637456 0.560999999999694 0.376469125183014 2.81168728655251 1.07363196693427 0.696154732440315 0.685039391810995 0.858675797771902
200426_132637471 0.575999999999112 0.59347263370006 2.81033504708813 1.01970934886236 0.696154732440315 0.685039391810995 0.858675797771902
200426_132637487 0.591999999998734 0.474386298054249 2.91161728636678 1.09427712118509 0.746541787904495 0.744472504919574 0.920524549235618
200426_132637517 0.625 0.649051481022035 3.31268952508799 1.23078035626003 0.811740731197733 0.828160834201934 1.05499863604698
200426_132637532 0.632999999999811 0.649380338873051 3.4126819734575 1.22959624410765 0.84750503003026 0.863187878333834 1.04437352411957
200426_132637550 0.647999999999229 0.530294003227212 3.51396421273603 1.30416401643032 0.862298249561326 0.887451896600773 1.11697528593626
200426_132637565 0.66399999999885 0.607042013323806 3.81510645164303 1.4200220972545 0.981169198896517 0.970233937625498 1.20883805492863
