Time(ddMMyy_HHmmssfff) Time(s) x(mm) y(mm) z(mm) rx(deg) ry(deg) rz(deg)
200426_105629394 0 1.4210854715202E-14 5.6843418860808E-14 0 2.48480834489337E-17 3.9756933518294E-16 3.72721251734006E-17
200426_105649180 0 1.4210854715202E-14 5.6843418860808E-14 0 2.48480834489337E-17 3.9756933518294E-16 3.72721251734006E-17
200426_105649195 0.0159999999999627 1.4210854715202E-14 5.6843418860808E-14 0 2.48480834489337E-17 3.9756933518294E-16 3.72721251734006E-17
200426_105649234 0.0319999999999254 1.4210854715202E-14 5.6843418860808E-14 0 2.48480834489337E-17 3.9756933518294E-16 3.72721251734006E-17
200426_105649419 0.240999999999985 0.0605229492178694 0.602468628970598 0.305562634699129 0.129963876146744 0.142043111762606 0.186363051809876
200426_105649848 0.663999999999987 0.670061239942939 3.92820607422271 1.44921184550986 0.98055538655679 0.950591806844614 1.23117600999308
200426_105649894 0.67999999999995 0.943264180199876 4.33932922139752 1.66447426975526 1.09205982159976 1.06672937477375 1.34916070892167
200426_105650088 0.903999999999996 1.4047092467619 6.75878586167391 2.49711946212 1.69689018990381 1.68844367404964 2.08501168803214
200426_105650168 0.935999999999922 1.36543749278904 7.35719275013264 2.7977303820565 1.83196688048129 1.82506424096437 2.27584382618689
200426_105650328 1.14499999999998 1.91766148729933 9.88026328190944 3.73536770616772 2.46896497374093 2.4583113764975 3.09214568459422
200426_105650439 1.19299999999998 1.98312540234446 10.4830965717226 3.94105314687766 2.64149777897947 2.62736602836526 3.27391615856324
200426_105650567 1.38499999999999 2.35292538454608 12.698657847825 4.76842017849003 3.17303542489326 3.13782781511897 3.97758503911771
200426_105650600 1.41599999999994 2.3488505751309 12.7985746596561 4.76858340148488 3.19569804519527 3.20733770267883 4.00189892213294
200426_105650806 1.625 2.63515509180253 14.6104069479223 5.59034582635553 3.65172582409713 3.63565590929466 4.57721521133341
200426_105650870 1.673 2.80448851945356 15.1173851664163 5.8008197588332 3.84074214553196 3.76607497289039 4.72737435191083
200426_105651045 1.86400000000003 2.87081859091079 15.8204999289031 5.90679122854863 3.9342313539497 3.94476499833214 4.92224266442697
200426_105651077 1.89599999999996 2.96159751885907 15.9241138204035 6.01178336029534 4.00565164052306 3.96498014241408 4.94889739869042
200426_105651267 2.08799999999997 2.96653848468632 15.924478481246 5.91190616630604 3.99340321882283 3.99949023435784 4.98435713146139
200426_105651331 2.15199999999993 2.9706132941015 15.8245616694149 5.9117429433112 3.9342313539497 3.94476499833214 4.92224266442697
200426_105651506 2.32799999999997 2.92231477312916 14.9223426049512 5.60569063962771 3.73370315226586 3.76006924615853 4.66374587942016
200426_105651537 2.36099999999999 2.83153584518087 14.8187287134508 5.50069850788111 3.67482566640919 3.70504079477589 4.60190341574233
200426_105651744 2.55999999999995 2.52719977802438 13.2060007271615 4.87901691697851 3.24140360591222 3.29749995463142 4.09843981914438
200426_105651982 2.76800000000003 2.16962422406827 10.6906890155659 4.05116021638167 2.69913269537638 2.68359861489683 3.334622673595
200426_105652157 2.976 1.53156226743698 8.0643692531313 2.90865356653455 1.98904999360051 2.0310241978683 2.49043851649312
200426_105652364 3.18399999999997 1.07011720087499 5.64491261285491 2.07600837416987 1.37998713002944 1.4132955504469 1.75088596722597
200426_105652396 3.21699999999998 1.08320778553259 5.44544365003532 1.975804734191 1.32383230845732 1.35559105056468 1.69153513975303
200426_105652602 3.42399999999998 0.721557422161311 3.03004875027079 1.14811125658895 0.75763966605776 0.764677470552196 0.947625404274001
200426_105652662 3.45699999999999 0.556298803925458 2.42315371994573 0.937474101116493 0.625801693673201 0.624608597485652 0.759630367716933
200426_105652809 3.625 0.321501461229275 1.3133422116386 0.521314727928996 0.329298798240708 0.307727996340284 0.39695949909851
200426_105652840 3.65599999999995 0.235663499108284 1.21009298098079 0.316445402193153 0.260356272896991 0.283639870016188 0.373089486268055
200426_105653032 3.84799999999996 0.0867041185331061 0.20353070333141 0.105155354741441 0.0546103026885491 0.0592037340826051 0.0579661228361054
200426_105653080 3.88 -0.00407480941515814 0.0999168118310649 0.000163222994842727 0.0205970294176174 0.0237855263426792 0.0703124676382327
200426_105653261 4.07299999999998 -0.00407480941515814 0.0999168118310649 0.000163222994842727 -0.0141555879224464 0.0348252200133458 0.0342858339668049
200426_105653462 4.27999999999997 0.147227067751004 0.805999332302065 0.410717989440514 0.219535917826316 0.189883764625507 0.280541704441522
200426_105653494 4.31299999999999 0.0482985209723381 0.902219064463793 0.306052303683543 0.219535917826316 0.189883764625507 0.280541704441522
200426_105653685 4.505 0.46057891014992 2.31917516760285 0.932359163359081 0.591563772742755 0.589271144614281 0.77172241994539
200426_105653734 4.53599999999994 0.530117634610235 2.82209164558492 1.13788138107412 0.70222069115066 0.706263941096616 0.888935140010287
200426_105653909 4.72799999999995 0.822229273521202 4.73457006736737 1.76005264096113 1.16933804006474 1.14738999005556 1.47920498499775
200426_105653941 4.75999999999999 0.908933392054294 4.93810077069872 1.86520799570263 1.25977171454609 1.24051463111586 1.52656081254361
200426_105654131 4.952 1.46523219597975 7.36125449064451 2.80268209681913 1.86669103241703 1.86021943897208 2.2643121083424
200426_105654164 4.98399999999992 1.42596044200691 7.95966137910318 3.10329301675557 2.00226449480321 1.99634104877409 2.45558599601118
200426_105654354 5.17599999999993 1.79662658062063 10.2755041278792 3.83094607737354 2.54888016518872 2.53604542209367 3.22445788924949
200426_105654370 5.19299999999998 2.08292010553517 10.4871583122345 3.94600486164029 2.64149777897947 2.62736602836526 3.27391615856324
200426_105654576 5.39199999999994 2.44777912190953 12.7023549274943 4.8732490872419 3.20833375370131 3.17275476769105 3.96668299519289
200426_105654609 5.42399999999998 2.33575999047329 12.9980436224756 4.86878704146369 3.25400481277286 3.2629172338056 4.06321639173695
200426_105654798 5.61599999999999 2.63515509180253 14.6104069479223 5.59034582635553 3.65172582409713 3.63565590929466 4.57721521133341
200426_105654830 5.649 2.82659487935361 14.8183640526082 5.6005757018703 3.71055612237443 3.69069873878031 4.63901353955675
200426_105655005 5.82399999999996 2.87489340032596 15.720583117072 5.90662800555384 3.9342313539497 3.94476499833214 4.92224266442697
200426_105655038 5.85599999999999 2.96974713768941 15.7242801967413 6.01145691430571 3.9342313539497 3.94476499833214 4.92224266442697
200426_105655228 6.04899999999998 2.96159751885907 15.9241138204035 6.01178336029534 3.99340321882283 3.99949023435784 4.98435713146139
200426_105655245 6.06399999999996 2.96159751885907 15.9241138204035 6.01178336029534 3.99340321882283 3.99949023435784 4.98435713146139
200426_105655476 6.27199999999993 2.9141651542988 15.1221762286133 5.60601708561734 3.75709413434648 3.7802144843011 4.73625722414935
200426_105655657 6.47199999999998 2.69653320567542 13.7129789456555 5.08949084945618 3.45244933342934 3.44974338575089 4.31984145325512
200426_105655689 6.505 2.5967385024847 13.7089172051436 5.08453913469356 3.39391237708446 3.39440041947376 4.25831356425122
200426_105655879 6.69600000000003 2.12306900767717 11.5892110003604 4.25238361131329 2.88234792361013 2.9075592183426 3.62419056413381
200426_105655911 6.72799999999995 2.15332498640757 11.0903562628902 4.05181310836082 2.7439765921119 2.77439333106507 3.43046440237793
200426_105656111 6.91999999999996 1.77043441954832 9.07426394960743 3.32464971672721 2.23934669976069 2.28020840202206 2.80257408977127
200426_105656309 7.12799999999993 1.22636004386841 6.35135979416845 2.38668594662636 1.58399591870655 1.57363910554523 1.96576383502786
200426_105656356 7.15999999999997 1.16089612882327 5.74852650435525 2.18100050591647 1.4362029429642 1.47094324752201 1.81029362167754
