Time(ddMMyy_HHmmssfff) Time(s) x(mm) y(mm) z(mm) rx(deg) ry(deg) rz(deg)
200426_115120063 0 0 0 0 0 -3.18055468146352E-15 -9.93923337957349E-17
200426_115124756 0 0 0 0 0 -3.18055468146352E-15 -9.93923337957349E-17
200426_115124772 0.0160000000000764 -0.044480270910725 0.00236543554586888 0.0895316157253205 0 -3.18055468146352E-15 -9.93923337957349E-17
200426_115124789 0.0320000000001528 -0.044480270910725 0.00236543554586888 0.0895316157253205 0 -3.18055468146352E-15 -9.93923337957349E-17
200426_115124804 0.0480000000002292 -0.0420502862803858 0.102325625771016 0.0880978985805427 0.0279510702065595 -0.00905578351815245 0.0453598799431228
200426_115124820 0.0640000000003056 -0.0420502862803858 0.102325625771016 0.0880978985805427 0.0279510702065595 -0.00905578351815245 0.0453598799431228
200426_115124837 0.080000000000382 -0.0420502862803858 0.102325625771016 0.0880978985805427 0.00458561158711563 0.0272506228959512 0.0733310646691031
200426_115124883 0.0960000000000036 -0.0396203016500749 0.202285815996049 0.0866641814357649 0.0409188573936995 0.0625501952348057 0.0643408788397788
200426_115124957 0.144000000000233 0.303748136409709 1.40121498917881 0.560654638550659 0.362360389879008 0.3550316398189 0.440683438165363
200426_115125026 0.22400000000016 0.303748136409709 1.40121498917881 0.560654638550659 0.362360389879008 0.3550316398189 0.440683438165363
200426_115125042 0.289000000000215 0.303748136409709 1.40121498917881 0.560654638550659 0.362360389879008 0.3550316398189 0.440683438165363
200426_115125074 0.320000000000164 0.303748136409709 1.40121498917881 0.560654638550659 0.362360389879008 0.3550316398189 0.440683438165363
200426_115125090 0.33600000000024 0.303748136409709 1.40121498917881 0.560654638550659 0.362360389879008 0.3550316398189 0.440683438165363
200426_115125106 0.352000000000317 0.303748136409709 1.40121498917881 0.560654638550659 0.362360389879008 0.3550316398189 0.440683438165363
200426_115125154 0.368000000000393 0.575165925060219 3.30459636502906 1.20367230710281 0.811296861262021 0.831167648423199 1.01327856860457
200426_115125169 0.416000000000167 0.575165925060219 3.30459636502906 1.20367230710281 0.811296861262021 0.831167648423199 1.01327856860457
200426_115125185 0.424000000000433 0.575165925060219 3.30459636502906 1.20367230710281 0.811296861262021 0.831167648423199 1.01327856860457
200426_115125201 0.44800000000032 0.575165925060219 3.30459636502906 1.20367230710281 0.811296861262021 0.831167648423199 1.01327856860457
200426_115125218 0.464000000000397 0.575165925060219 3.30459636502906 1.20367230710281 0.811296861262021 0.831167648423199 1.01327856860457
200426_115125234 0.481000000000222 0.575165925060219 3.30459636502906 1.20367230710281 0.811296861262021 0.831167648423199 1.01327856860457
200426_115125249 0.496000000000095 0.575165925060219 3.30459636502906 1.20367230710281 0.811296861262021 0.831167648423199 1.01327856860457
200426_115125265 0.50400000000036 0.575165925060219 3.30459636502906 1.20367230710281 0.811296861262021 0.831167648423199 1.01327856860457
200426_115125281 0.520000000000437 0.575165925060219 3.30459636502906 1.20367230710281 0.811296861262021 0.831167648423199 1.01327856860457
