Time,Distance
2.926551818847656250e+00,6.142436523437500000e+02
2.941560506820678711e+00,6.144528808593750000e+02
2.972832202911376953e+00,6.136665039062500000e+02
3.004086017608642578e+00,6.137954101562500000e+02
3.035691738128662109e+00,6.139348144531250000e+02
3.066940069198608398e+00,6.138322753906250000e+02
3.098575592041015625e+00,6.138200683593750000e+02
3.129950046539306641e+00,6.145000000000000000e+02
3.161196708679199219e+00,6.145000000000000000e+02
3.192483663558959961e+00,6.140283203125000000e+02
3.227233886718750000e+00,6.140573730468750000e+02
3.255364179611206055e+00,6.141923828125000000e+02
3.286677598953247070e+00,6.141547851562500000e+02
3.327434062957763672e+00,6.135400390625000000e+02
3.349567174911499023e+00,6.148098144531250000e+02
3.380809307098388672e+00,6.149042968750000000e+02
3.431935310363769531e+00,6.141115722656250000e+02
3.464311599731445312e+00,6.145075683593750000e+02
3.482580423355102539e+00,6.144003906250000000e+02
3.515328168869018555e+00,6.137248535156250000e+02
3.548823118209838867e+00,6.142568359375000000e+02
3.582075357437133789e+00,6.137949218750000000e+02
3.618751525878906250e+00,6.139353027343750000e+02
3.650166511535644531e+00,6.139726562500000000e+02
3.682658195495605469e+00,6.137424316406250000e+02
3.699852466583251953e+00,6.135834960937500000e+02
3.733941316604614258e+00,6.141938476562500000e+02
3.767584800720214844e+00,6.141464843750000000e+02
3.800585746765136719e+00,6.141506347656250000e+02
3.833113431930541992e+00,6.141506347656250000e+02
3.866719245910644531e+00,6.146062011718750000e+02
3.899823427200317383e+00,6.142067871093750000e+02
3.933057546615600586e+00,6.139892578125000000e+02
3.966537714004516602e+00,6.142416992187500000e+02
3.998670339584350586e+00,6.143503417968750000e+02
4.027811765670776367e+00,6.141936035156250000e+02
4.050460815429687500e+00,6.138422851562500000e+02
4.083828210830688477e+00,6.137922363281250000e+02
4.116640329360961914e+00,6.138640136718750000e+02
4.149951696395874023e+00,6.142592773437500000e+02
4.183162689208984375e+00,6.137526855468750000e+02
4.216587305068969727e+00,6.142087402343750000e+02
4.250398159027099609e+00,6.141086425781250000e+02
4.298631906509399414e+00,6.136953125000000000e+02
4.333030939102172852e+00,6.133095703125000000e+02
4.365277767181396484e+00,6.146179199218750000e+02
4.383500337600708008e+00,6.138728027343750000e+02
4.428339004516601562e+00,6.145419921875000000e+02
4.450361013412475586e+00,6.140197753906250000e+02
4.484308958053588867e+00,6.143981933593750000e+02
4.528407573699951172e+00,6.142651367187500000e+02
4.549180507659912109e+00,6.137360839843750000e+02
4.580481529235839844e+00,6.137014160156250000e+02
4.611719846725463867e+00,6.143015136718750000e+02
4.643387794494628906e+00,6.142934570312500000e+02
4.674678564071655273e+00,6.140341796875000000e+02
4.705920934677124023e+00,6.143762207031250000e+02
4.737590074539184570e+00,6.147111816406250000e+02
4.768837690353393555e+00,6.135893554687500000e+02
4.800078868865966797e+00,6.135893554687500000e+02
4.833568811416625977e+00,6.140400390625000000e+02
4.870031118392944336e+00,6.143190917968750000e+02
4.899823188781738281e+00,6.147419433593750000e+02
4.933121442794799805e+00,6.135874023437500000e+02
4.965235710144042969e+00,6.139306640625000000e+02
4.997562885284423828e+00,6.141325683593750000e+02
5.028657913208007812e+00,6.142316894531250000e+02
5.050559282302856445e+00,6.135258789062500000e+02
5.083735704421997070e+00,6.141843261718750000e+02
5.116323709487915039e+00,6.138662109375000000e+02
5.149621486663818359e+00,6.136047363281250000e+02
5.183208227157592773e+00,6.139160156250000000e+02
5.216368675231933594e+00,6.140395507812500000e+02
5.249950408935546875e+00,6.133608398437500000e+02
5.281887292861938477e+00,6.137666015625000000e+02
5.316254377365112305e+00,6.133161621093750000e+02
5.348538160324096680e+00,6.139609375000000000e+02
5.366925954818725586e+00,6.133879394531250000e+02
5.400521278381347656e+00,6.139538574218750000e+02
5.433600187301635742e+00,6.142651367187500000e+02
5.466474533081054688e+00,6.141745605468750000e+02
5.499851942062377930e+00,6.141745605468750000e+02
5.532993316650390625e+00,6.135859375000000000e+02
5.566370964050292969e+00,6.146696777343750000e+02
5.600111246109008789e+00,6.149951171875000000e+02
5.633158683776855469e+00,6.138100585937500000e+02
5.665244102478027344e+00,6.140234375000000000e+02
5.683664083480834961e+00,6.141215820312500000e+02
5.727524042129516602e+00,6.136350097656250000e+02
5.747669458389282227e+00,6.145395507812500000e+02
5.778913259506225586e+00,6.146967773437500000e+02
5.810155391693115234e+00,6.140053710937500000e+02
5.847237586975097656e+00,6.140639648437500000e+02
5.873447656631469727e+00,6.142949218750000000e+02
5.904686927795410156e+00,6.143574218750000000e+02
5.936346054077148438e+00,6.143574218750000000e+02
5.967592000961303711e+00,6.139104003906250000e+02
5.999521493911743164e+00,6.143063964843750000e+02
6.031298398971557617e+00,6.144377441406250000e+02
6.062576293945312500e+00,6.133376464843750000e+02
6.093788146972656250e+00,6.140683593750000000e+02
6.109409093856811523e+00,6.139587402343750000e+02
6.141160249710083008e+00,6.147602539062500000e+02
6.172406196594238281e+00,6.142045898437500000e+02
6.203978300094604492e+00,6.145053710937500000e+02
6.235617160797119141e+00,6.140541992187500000e+02
6.267253160476684570e+00,6.137888183593750000e+02
6.299007892608642578e+00,6.143081054687500000e+02
6.330384731292724609e+00,6.143081054687500000e+02
6.368213415145874023e+00,6.141352539062500000e+02
6.393425464630126953e+00,6.140966796875000000e+02
6.430669546127319336e+00,6.143896484375000000e+02
6.456380605697631836e+00,6.138713378906250000e+02
6.487623691558837891e+00,6.145483398437500000e+02
6.518867254257202148e+00,6.135375976562500000e+02
6.550579547882080078e+00,6.137050781250000000e+02
6.581982135772705078e+00,6.136721191406250000e+02
6.613064289093017578e+00,6.135085449218750000e+02
6.644730567932128906e+00,6.135974121093750000e+02
6.675976037979125977e+00,6.137580566406250000e+02
6.707689762115478516e+00,6.129565429687500000e+02
6.730789184570312500e+00,6.129565429687500000e+02
6.754921913146972656e+00,6.136442871093750000e+02
6.786209106445312500e+00,6.141459960937500000e+02
6.817405939102172852e+00,6.138676757812500000e+02
6.849076271057128906e+00,6.133981933593750000e+02
6.885723829269409180e+00,6.140371093750000000e+02
6.911931276321411133e+00,6.136298828125000000e+02
6.943607330322265625e+00,6.141320800781250000e+02
6.974852800369262695e+00,6.131213378906250000e+02
7.006141901016235352e+00,6.138588867187500000e+02
7.037839174270629883e+00,6.138588867187500000e+02
7.069084882736206055e+00,6.138625488281250000e+02
7.084739208221435547e+00,6.138796386718750000e+02
7.115951061248779297e+00,6.138122558593750000e+02
7.147085666656494141e+00,6.141542968750000000e+02
7.178327322006225586e+00,6.135412597656250000e+02
7.209569692611694336e+00,6.131154785156250000e+02
